"","game_num","date","tm_short","location","opp","runs","runs_allowed"
"1",1,2020-03-28,"ARI","Away","LAD",5,12
"2",2,2020-03-29,"ARI","Away","LAD",5,4
"3",3,2020-03-30,"ARI","Away","LAD",5,18
"4",4,2020-03-31,"ARI","Away","LAD",7,8
"5",5,2020-04-01,"ARI","Away","SDP",10,3
"6",6,2020-04-02,"ARI","Away","SDP",8,5
"7",7,2020-04-03,"ARI","Away","SDP",1,4
"8",8,2020-04-05,"ARI","Home","BOS",15,8
"9",9,2020-04-06,"ARI","Home","BOS",5,4
"10",10,2020-04-07,"ARI","Home","BOS",0,1
"11",11,2020-04-09,"ARI","Home","TEX",5,4
"12",12,2020-04-10,"ARI","Home","TEX",2,5
"13",13,2020-04-11,"ARI","Home","SDP",6,7
"14",14,2020-04-12,"ARI","Home","SDP",1,2
"15",15,2020-04-13,"ARI","Home","SDP",4,5
"16",16,2020-04-14,"ARI","Home","SDP",8,4
"17",17,2020-04-16,"ARI","Away","ATL",9,6
"18",18,2020-04-17,"ARI","Away","ATL",3,2
"19",19,2020-04-18,"ARI","Away","ATL",4,1
"20",20,2020-04-19,"ARI","Away","CHC",1,5
"21",21,2020-04-20,"ARI","Away","CHC",6,0
"22",22,2020-04-21,"ARI","Away","CHC",1,2
"23",23,2020-04-22,"ARI","Away","PIT",12,4
"24",24,2020-04-23,"ARI","Away","PIT",2,1
"25",25,2020-04-24,"ARI","Away","PIT",11,2
"26",26,2020-04-25,"ARI","Away","PIT",5,0
"27",27,2020-04-26,"ARI","Home","CHC",8,3
"28",28,2020-04-27,"ARI","Home","CHC",1,9
"29",29,2020-04-28,"ARI","Home","CHC",5,6
"30",30,2020-04-30,"ARI","Home","NYY",3,1
"31",31,2020-05-01,"ARI","Home","NYY",3,2
"32",32,2020-05-03,"ARI","Away","COL",10,9
"33",33,2020-05-04,"ARI","Away","COL",9,2
"34",34,2020-05-05,"ARI","Away","COL",7,8
"35",35,2020-05-06,"ARI","Away","TBR",1,12
"36",36,2020-05-07,"ARI","Away","TBR",3,6
"37",37,2020-05-08,"ARI","Away","TBR",3,2
"38",38,2020-05-09,"ARI","Home","ATL",3,2
"39",39,2020-05-10,"ARI","Home","ATL",1,2
"40",40,2020-05-11,"ARI","Home","ATL",4,6
"41",41,2020-05-12,"ARI","Home","ATL",3,5
"42",42,2020-05-13,"ARI","Home","PIT",9,3
"43",43,2020-05-14,"ARI","Home","PIT",2,6
"44",44,2020-05-15,"ARI","Home","PIT",11,1
"45",45,2020-05-17,"ARI","Home","SFG",7,0
"46",46,2020-05-18,"ARI","Home","SFG",5,8
