"","Team","Year","R.G","Playoffs","SO.W","num_batters","AB","BB_own","HBP_own","SH","SF","LOB_own","IP","R_allowed","WHIP"
"1","ATL",1975,3.62,FALSE,1.29,0.248447204968944,33.6894409937888,3.37267080745342,0.111801242236025,0.447204968944099,0.217391304347826,7.26708074534162,8.88198757763975,4.59006211180124,0.00895652173913043
"2","BAL",1975,4.29,FALSE,1.43,0.213836477987421,34.4276729559748,3.64779874213836,0.238993710691824,0.459119496855346,0.289308176100629,7.49685534591195,9.12578616352201,3.47798742138365,0.00773584905660377
"3","BOS",1975,4.97,TRUE,1.47,0.23125,34.05,3.53125,0.2125,0.46875,0.33125,6.9625,8.97625,4.43125,0.00849375
"4","CAL",1975,3.9,FALSE,1.59,0.298136645962733,33.3975155279503,3.6832298136646,0.167701863354037,0.602484472049689,0.291925465838509,7.01863354037267,9.02546583850932,4.49068322981366,0.00854037267080745
"5","CHC",1975,4.4,FALSE,1.54,0.240740740740741,33.7654320987654,4.01234567901235,0.185185185185185,0.660493827160494,0.407407407407407,7.79012345679012,8.9141975308642,5.10493827160494,0.0091358024691358
"6","CHW",1975,4.07,FALSE,1.22,0.254658385093168,34.0993788819876,3.79503105590062,0.248447204968944,0.31055900621118,0.322981366459627,7.57763975155279,9.01925465838509,4.36645962732919,0.00916770186335404
"7","CIN",1975,5.19,TRUE,1.36,0.179012345679012,34.4506172839506,4.26543209876543,0.216049382716049,0.407407407407407,0.277777777777778,7.84567901234568,9.00617283950617,3.61728395061728,0.00807407407407407
"8","CLE",1975,4.33,FALSE,1.34,0.257861635220126,33.9874213836478,3.30188679245283,0.150943396226415,0.40251572327044,0.251572327044025,6.71069182389937,9.02578616352201,4.42138364779874,0.00873584905660377
"9","DET",1975,3.58,FALSE,1.48,0.238993710691824,33.748427672956,2.40880503144654,0.176100628930818,0.232704402515723,0.238993710691824,6.47169811320755,8.77987421383648,4.94339622641509,0.00913836477987422
"10","HOU",1975,4.1,FALSE,1.24,0.216049382716049,34.0432098765432,3.2283950617284,0.197530864197531,0.598765432098765,0.271604938271605,7.04938271604938,9.00061728395062,4.38888888888889,0.00895061728395062
"11","KCR",1975,4.38,FALSE,1.64,0.197530864197531,33.8950617283951,3.64814814814815,0.179012345679012,0.419753086419753,0.314814814814815,7.29012345679012,8.98888888888889,4.00617283950617,0.0081358024691358
"12","LAD",1975,4,FALSE,2,0.228395061728395,33.6604938271605,3.7716049382716,0.191358024691358,0.641975308641975,0.290123456790123,7.45679012345679,9.06913580246914,3.2962962962963,0.00698765432098765
"13","MIL",1975,4.17,FALSE,1.03,0.222222222222222,33.1975308641975,3.41358024691358,0.172839506172839,0.450617283950617,0.302469135802469,6.67283950617284,8.83456790123457,4.88888888888889,0.00914197530864198
"14","MIN",1975,4.55,FALSE,1.37,0.220125786163522,34.6792452830189,3.54088050314465,0.251572327044025,0.389937106918239,0.289308176100629,7.78616352201258,8.94968553459119,4.62893081761006,0.00883018867924528
"15","MON",1975,3.71,FALSE,1.25,0.234567901234568,34.0617283950617,3.57407407407407,0.166666666666667,0.679012345679012,0.234567901234568,7.53703703703704,9.1358024691358,4.25925925925926,0.00881481481481482
"16","NYM",1975,3.99,FALSE,1.71,0.228395061728395,34.4876543209877,3.09259259259259,0.228395061728395,0.462962962962963,0.228395061728395,7.40740740740741,9.04938271604938,3.85802469135802,0.00809876543209877
"17","NYY",1975,4.26,FALSE,1.61,0.23125,33.84375,3.0375,0.1875,0.3375,0.33125,6.81875,8.9,3.675,0.00801875
"18","OAK",1975,4.68,TRUE,1.5,0.259259259259259,33.4259259259259,3.75925925925926,0.314814814814815,0.45679012345679,0.216049382716049,6.95679012345679,8.93827160493827,3.74074074074074,0.00762962962962963
"19","PHI",1975,4.54,FALSE,1.64,0.240740740740741,34.5185185185185,3.76543209876543,0.191358024691358,0.54320987654321,0.259259259259259,7.85185185185185,8.98148148148148,4.28395061728395,0.00805555555555556
"20","PIT",1975,4.42,TRUE,1.39,0.211180124223602,34.0931677018634,2.90683229813665,0.236024844720497,0.472049689440994,0.248447204968944,6.95652173913043,8.92608695652174,3.50931677018634,0.00800621118012422
"21","SDP",1975,3.41,FALSE,1.37,0.234567901234568,33.5123456790123,3.12345679012346,0.228395061728395,0.820987654320988,0.283950617283951,7.32098765432099,9.03148148148148,4.21604938271605,0.0085
"22","SFG",1975,4.09,FALSE,1.4,0.229813664596273,33.832298136646,3.75155279503106,0.136645962732919,0.385093167701863,0.316770186335404,7.6583850931677,8.89565217391304,4.16770186335404,0.00875155279503106
"23","STL",1975,4.06,FALSE,1.44,0.269938650306748,34.3374233128834,2.7239263803681,0.177914110429448,0.56441717791411,0.276073619631902,7.25766871165644,8.92147239263804,4.22699386503067,0.00853374233128834
"24","TEX",1975,4.41,FALSE,1.53,0.240740740740741,34.5617283950617,3.78395061728395,0.154320987654321,0.395061728395062,0.253086419753086,7.50617283950617,9.04444444444444,4.52469135802469,0.00831481481481481
"25","ATL",1976,3.83,FALSE,1.45,0.265432098765432,32.9938271604938,3.6358024691358,0.117283950617284,0.660493827160494,0.290123456790123,7.10493827160494,8.87654320987654,4.32098765432099,0.00858024691358025
"26","BAL",1976,3.82,FALSE,1.39,0.228395061728395,33.6851851851852,3.2037037037037,0.141975308641975,0.351851851851852,0.216049382716049,6.66666666666667,9.06296296296296,3.69135802469136,0.00791975308641975
"27","BOS",1976,4.42,FALSE,1.65,0.197530864197531,34.0185185185185,3.08641975308642,0.179012345679012,0.339506172839506,0.364197530864198,6.67283950617284,9,4.07407407407407,0.00806172839506173
"28","CAL",1976,3.4,FALSE,1.79,0.259259259259259,33.2407407407407,3.2962962962963,0.259259259259259,0.567901234567901,0.296296296296296,6.82098765432099,9.1179012345679,3.89506172839506,0.00783950617283951
"29","CHC",1976,3.77,FALSE,1.73,0.240740740740741,34.0679012345679,3.02469135802469,0.185185185185185,0.462962962962963,0.253086419753086,6.82098765432099,9.08086419753086,4.49382716049383,0.00839506172839506
"30","CHW",1976,3.64,FALSE,1.34,0.260869565217391,34.360248447205,2.92546583850932,0.211180124223602,0.490683229813665,0.341614906832298,7.4472049689441,8.99378881987578,4.62732919254658,0.00883850931677019
"31","CIN",1976,5.29,TRUE,1.61,0.179012345679012,35.1975308641975,4.2037037037037,0.172839506172839,0.41358024691358,0.37037037037037,8.19753086419753,9.08024691358025,3.90740740740741,0.00808641975308642
"32","CLE",1976,3.87,FALSE,1.74,0.213836477987421,34.0377358490566,3.0125786163522,0.0691823899371069,0.421383647798742,0.377358490566038,7.0251572327044,9.0062893081761,3.86792452830189,0.00832075471698113
"33","DET",1976,3.78,FALSE,1.34,0.204968944099379,33.7950310559006,2.79503105590062,0.192546583850932,0.285714285714286,0.31055900621118,6.80124223602484,8.8888198757764,4.40372670807453,0.0085776397515528
"34","HOU",1976,3.86,FALSE,1.18,0.222222222222222,33.7283950617284,3.2716049382716,0.12962962962963,0.351851851851852,0.240740740740741,7.11728395061728,8.9141975308642,4.05555555555556,0.00859259259259259
"35","KCR",1976,4.4,TRUE,1.49,0.228395061728395,34.1975308641975,2.98765432098765,0.191358024691358,0.438271604938272,0.438271604938272,6.77160493827161,9.08703703703704,3.7716049382716,0.00775308641975309
