"","Team","Year","Playoffs","R.G_ranked","SLG_ranked","HR9_ranked","SO9_ranked","SO.W_ranked","AB_ranked","B2_ranked","B3_ranked","SO_own_ranked","SH_ranked","IBB_own_ranked","LOB_own_ranked","num_pitchers_ranked","RA.G_ranked","cSho_ranked","Saves_ranked","HBP_allowed_ranked","BF_ranked","ERA_plus_ranked"
"1","ATL",1975,FALSE,3,3,5.5,3,5,6,2,4,9,10,14,11,21.5,20,1.5,9.5,23,19.5,8
"2","BAL",1975,FALSE,14,13,13,4.5,12,19,14,9,18,13,12,16,4.5,3,24,7,1,4,21
"3","BOS",1975,TRUE,23,24,22.5,6,14,14,24,19,5,15,13,7,2.5,16,16,17,3,10,16
"4","CAL",1975,FALSE,5,1,18.5,23,19,2,3,17,14,20,3,8,21.5,18,21,1,20,17,4
"5","CHC",1975,FALSE,17,11,18.5,18,18,8,15,16,11,22,23.5,22,20,24,4,18,21,23,1.5
"6","CHW",1975,FALSE,9,5,13,11,2,17,6,13,12,2,10,19,24,15,1.5,22,13,22,12
"7","CIN",1975,TRUE,24,21,13,2,7,20,22,12,21,8,18,23,1,4,3,24,10,8,18
"8","CLE",1975,FALSE,15,19,22.5,11,6,12,4,3,3,7,4,3,23,17,6,19,15,16,10
"9","DET",1975,FALSE,2,10,22.5,14.5,15,7,1,15,20,1,1,1,16,23,10,3,12,11,5
"10","HOU",1975,FALSE,11,6,13,17,3,13,11,23,8,19,17,9,14,14,5,12,14,21,1.5
"11","KCR",1975,FALSE,16,20,13,11,21.5,11,21,24,2,9,7,12,8,8,14.5,12,11,7,19.5
"12","LAD",1975,FALSE,7,8.5,5.5,21.5,24,5,9.5,6.5,15,21,21,15,8,1,23,6,9,2,23
"13","MIL",1975,FALSE,12,17,18.5,1,1,1,19,10.5,22,11,2,2,14,22,9,20,24,19.5,3
"14","MIN",1975,FALSE,21,16,22.5,19.5,8.5,24,12,5,7,5,19,21,4.5,21,8,8,16,14,6
"15","MON",1975,FALSE,4,4,5.5,14.5,4,15,8,6.5,23,23,22,18,8,12,11.5,12,17.5,24,15
"16","NYM",1975,FALSE,6,7,5.5,24,23,21,9.5,10.5,13,14,20,14,17,7,20,15,6.5,9,13
"17","NYY",1975,FALSE,13,15,13,14.5,20,10,16,14,4,3,5,4,2.5,5,19,5,4,1,22
"18","OAK",1975,TRUE,22,18,5.5,8.5,16,3,13,8,17,12,6,6,8,6,7,23,17.5,3,19.5
"19","PHI",1975,FALSE,20,22.5,13,21.5,21.5,22,23,18,24,17,23.5,24,14,13,11.5,14,8,6,9
"20","PIT",1975,TRUE,19,22.5,1,7,10,16,20,22,16,16,11,5,11.5,2,18,16,2,5,24
"21","SDP",1975,FALSE,1,2,5.5,4.5,8.5,4,7,2,6,24,15,13,8,11,14.5,4,6.5,18,11
"22","SFG",1975,FALSE,10,8.5,5.5,19.5,11,9,17,20,10,4,9,20,11.5,9,13,9.5,19,12,14
"23","STL",1975,FALSE,8,14,5.5,14.5,13,18,18,21,1,18,16,10,19,10,17,21,5,15,17
"24","TEX",1975,FALSE,18,12,18.5,8.5,17,23,5,1,19,6,8,17,18,19,22,2,22,13,7
"25","ATL",1976,FALSE,13,2,5.5,19,11,1,1,5,15,23,12.5,17,22.5,19,10.5,11.5,23,19,10.5
"26","BAL",1976,FALSE,12,13,5.5,3.5,9,9,12.5,4,22,4.5,2,3,14,5,20,7.5,7.5,7,10.5
"27","BOS",1976,FALSE,20,23,23,3.5,16,13,21,20,18,3,3,4,1.5,14,8,11.5,17,11,22.5
"28","CAL",1976,FALSE,2,1,16,23,22,3,9,1,16,20.5,14,8.5,11.5,9,16.5,2,20.5,14,10.5
"29","CHC",1976,FALSE,8,12,24,20,20,16,14.5,2,19,13.5,22,8.5,22.5,22,4,18,12,24,7.5
"30","CHW",1976,FALSE,5,9.5,5.5,18,7.5,20,10,17,8,16,10,22,18,24,2,6,19,23,1
"31","CIN",1976,TRUE,24,24,16,15,15,24,24,24,23,9,21,24,8,10,4,23,5,15,13
"32","CLE",1976,FALSE,15,14.5,5.5,22,21,14,3,15,2,10,8,13,10,11,12,24,18,8,14
"33","DET",1976,FALSE,9,17,16,10,7.5,12,7,13.5,7,1,4,7,5.5,21,15,4,13.5,12,5.5
"34","HOU",1976,FALSE,14,8,5.5,16.5,1,10,4,18,6,4.5,17,18,19.5,13,21.5,15,10,18,2.5
"35","KCR",1976,TRUE,19,18,5.5,7.5,12,18,22.5,22.5,3,11,5,5,19.5,7,8,19.5,15.5,6,19
"36","LAD",1976,FALSE,7,9.5,16,10,14,11,6,8.5,9,19,24,12,3.5,2,23,14,7.5,4,22.5
