"","Team","Year","R.G","BA","OBP","SLG","OPS","OPS_plus","Playoffs","ERA","H9","HR9","BB9","SO9","SO.W","num_batters","Games_Played","PA","AB","H_own","B2","B3","HR_own","RBI","SB","CS","BB_own","SO_own","TB","GDP","HBP_own","SH","SF","IBB_own","LOB_own","num_pitchers","RA.G","CG","tSho","cSho","Saves","IP","R_allowed","ER","IBB_allowed","HBP_allowed","BK","WP","BF","ERA_plus","FIP","WHIP","LOB_allowed"
"1","ATL",1975,3.62,0.244,0.313,0.346,0.659,81,FALSE,3.91,9.7,0.6,3.3,4.2,1.29,0.248447204968944,1,37.8509316770186,33.6894409937888,8.21739130434783,1.11180124223602,0.173913043478261,0.664596273291925,3.36024844720497,0.341614906832298,0.236024844720497,3.37267080745342,4.71428571428571,11.6708074534161,0.863354037267081,0.111801242236025,0.447204968944099,0.217391304347826,0.360248447204969,7.26708074534162,0.118012422360248,0.0285093167701863,0.198757763975155,0.0248447204968944,0.0186335403726708,0.149068322981366,8.88198757763975,4.59006211180124,3.86335403726708,0.31055900621118,0.273291925465839,0.105590062111801,0.341614906832298,39,0.602484472049689,0.0232919254658385,0.00895652173913043,7.7639751552795
"2","BAL",1975,4.29,0.252,0.326,0.373,0.699,103,FALSE,3.17,8,0.7,3.1,4.4,1.43,0.213836477987421,1,39.062893081761,34.4276729559748,8.69182389937107,1.40880503144654,0.207547169811321,0.779874213836478,3.9937106918239,0.654088050314465,0.345911949685535,3.64779874213836,5.24528301886792,12.8553459119497,0.716981132075472,0.238993710691824,0.459119496855346,0.289308176100629,0.345911949685535,7.49685534591195,0.0817610062893082,0.0218867924528302,0.440251572327044,0.119496855345912,0.119496855345912,0.132075471698113,9.12578616352201,3.47798742138365,3.21383647798742,0.289308176100629,0.0754716981132075,0.0188679245283019,0.264150943396226,37.377358490566,0.70440251572327,0.0228930817610063,0.00773584905660377,6.52201257861635
"3","BOS",1975,4.97,0.275,0.344,0.417,0.761,107,TRUE,3.98,9.2,0.9,3.1,4.5,1.47,0.23125,1,38.59375,34.05,9.375,1.775,0.275,0.8375,4.725,0.4125,0.3625,3.53125,4.63125,14.2125,0.85625,0.2125,0.46875,0.33125,0.35625,6.9625,0.075,0.0276875,0.3875,0.06875,0.0625,0.19375,8.97625,4.43125,3.975,0.15,0.125,0.00625,0.2125,38.30625,0.65,0.02475,0.00849375,6.9375
"4","CAL",1975,3.9,0.246,0.322,0.328,0.65,91,FALSE,3.89,8.6,0.8,3.8,6,1.59,0.298136645962733,1,38.1490683229814,33.3975155279503,8.22360248447205,1.2111801242236,0.254658385093168,0.341614906832298,3.5527950310559,1.36645962732919,0.670807453416149,3.6832298136646,5.03726708074534,10.9689440993789,0.608695652173913,0.167701863354037,0.602484472049689,0.291925465838509,0.217391304347826,7.01863354037267,0.118012422360248,0.027888198757764,0.366459627329193,0.118012422360248,0.0807453416149068,0.0993788819875776,9.02546583850932,4.49068322981366,3.90062111801242,0.211180124223602,0.242236024844721,0.031055900621118,0.385093167701863,38.7701863354037,0.565217391304348,0.0229192546583851,0.00854037267080745,7.19875776397516
"5","CHC",1975,4.4,0.259,0.338,0.368,0.706,93,FALSE,4.49,9.9,0.8,3.4,5.3,1.54,0.240740740740741,1,39.0308641975309,33.7654320987654,8.75925925925926,1.41358024691358,0.253086419753086,0.58641975308642,3.98148148148148,0.41358024691358,0.339506172839506,4.01234567901235,4.95061728395062,12.4382716049383,0.691358024691358,0.185185185185185,0.660493827160494,0.407407407407407,0.481481481481481,7.79012345679012,0.117283950617284,0.0314814814814815,0.166666666666667,0.0493827160493827,0.0308641975308642,0.203703703703704,8.9141975308642,5.10493827160494,4.45061728395062,0.364197530864198,0.246913580246914,0.0555555555555556,0.216049382716049,39.4012345679012,0.518518518518518,0.0235185185185185,0.0091358024691358,7.54938271604938
"6","CHW",1975,4.07,0.255,0.331,0.358,0.689,94,FALSE,3.93,9.2,0.7,4.1,5,1.22,0.254658385093168,1,38.7826086956522,34.0993788819876,8.69565217391304,1.29813664596273,0.236024844720497,0.583850931677019,3.75155279503106,0.627329192546584,0.335403726708075,3.79503105590062,4.96894409937888,12.2173913043478,0.93167701863354,0.248447204968944,0.31055900621118,0.322981366459627,0.329192546583851,7.57763975155279,0.124223602484472,0.0271428571428571,0.211180124223602,0.0434782608695652,0.0186335403726708,0.242236024844721,9.01925465838509,4.36645962732919,3.93788819875776,0.236024844720497,0.204968944099379,0.0372670807453416,0.161490683229814,39.3975155279503,0.62111801242236,0.0240372670807453,0.00916770186335404,7.96894409937888
"7","CIN",1975,5.19,0.271,0.353,0.401,0.754,108,TRUE,3.37,8.8,0.7,3,4.1,1.36,0.179012345679012,1,39.6234567901235,34.4506172839506,9.35185185185185,1.71604938271605,0.228395061728395,0.765432098765432,4.80864197530864,1.03703703703704,0.222222222222222,4.26543209876543,5.65432098765432,13.820987654321,0.753086419753086,0.216049382716049,0.407407407407407,0.277777777777778,0.41358024691358,7.84567901234568,0.0740740740740741,0.0223456790123457,0.135802469135802,0.0493827160493827,0.0246913580246914,0.308641975308642,9.00617283950617,3.61728395061728,3.37037037037037,0.388888888888889,0.179012345679012,0.0617283950617284,0.302469135802469,38.0123456790123,0.660493827160494,0.0230864197530864,0.00807407407407407,7.37654320987654
"8","CLE",1975,4.33,0.261,0.327,0.392,0.719,104,FALSE,3.84,8.7,0.9,3.8,5,1.34,0.257861635220126,1,38.1069182389937,33.9874213836478,8.86163522012579,1.26415094339623,0.157232704402516,0.962264150943396,4.0440251572327,0.666666666666667,0.559748427672956,3.30188679245283,4.19496855345912,13.3270440251572,0.911949685534591,0.150943396226415,0.40251572327044,0.251572327044025,0.226415094339623,6.71069182389937,0.119496855345912,0.0277987421383648,0.232704402515723,0.0377358490566038,0.0377358490566038,0.207547169811321,9.02578616352201,4.42138364779874,3.85534591194969,0.490566037735849,0.220125786163522,0.0566037735849057,0.320754716981132,38.7169811320755,0.616352201257862,0.0253459119496855,0.00873584905660377,7.21383647798742
"9","DET",1975,3.58,0.249,0.301,0.366,0.666,86,FALSE,4.27,9.6,0.9,3.4,5.1,1.48,0.238993710691824,1,36.811320754717,33.748427672956,8.41509433962264,1.07547169811321,0.245283018867925,0.786163522012579,3.43396226415094,0.39622641509434,0.358490566037736,2.40880503144654,5.48427672955975,12.3396226415094,0.754716981132076,0.176100628930818,0.232704402515723,0.238993710691824,0.163522012578616,6.47169811320755,0.0943396226415094,0.0310691823899371,0.327044025157233,0.0628930817610063,0.050314465408805,0.106918238993711,8.77987421383648,4.94339622641509,4.16981132075472,0.29559748427673,0.188679245283019,0.0188679245283019,0.30188679245283,38.5345911949686,0.584905660377358,0.0248427672955975,0.00913836477987422,7.25157232704403
"10","HOU",1975,4.1,0.254,0.32,0.359,0.679,96,FALSE,4.04,8.9,0.7,4.2,5.2,1.24,0.216049382716049,1,38.3456790123457,34.0432098765432,8.64814814814815,1.34567901234568,0.333333333333333,0.518518518518518,3.74074074074074,0.820987654320988,0.382716049382716,3.2283950617284,4.7037037037037,12.216049382716,0.728395061728395,0.197530864197531,0.598765432098765,0.271604938271605,0.407407407407407,7.04938271604938,0.0925925925925926,0.0270987654320988,0.240740740740741,0.037037037037037,0.037037037037037,0.154320987654321,9.00061728395062,4.38888888888889,4.03703703703704,0.271604938271605,0.209876543209877,0.0925925925925926,0.512345679012346,39.1172839506173,0.518518518518518,0.0237654320987654,0.00895061728395062,7.72222222222222
"11","KCR",1975,4.38,0.261,0.333,0.394,0.727,103,FALSE,3.47,8.8,0.7,3.1,5,1.64,0.197530864197531,1,38.462962962963,33.8950617283951,8.83333333333333,1.62345679012346,0.358024691358025,0.728395061728395,4.11728395061728,0.95679012345679,0.462962962962963,3.64814814814815,4.16666666666667,13.358024691358,0.672839506172839,0.179012345679012,0.419753086419753,0.314814814814815,0.290123456790123,7.29012345679012,0.0864197530864197,0.0247530864197531,0.320987654320988,0.0679012345679012,0.0617283950617284,0.154320987654321,8.98888888888889,4.00617283950617,3.46296296296296,0.320987654320988,0.185185185185185,0.0123456790123457,0.246913580246914,38,0.685185185185185,0.0217283950617284,0.0081358024691358,7.01851851851852
"12","LAD",1975,4,0.248,0.325,0.365,0.69,96,FALSE,2.92,7.4,0.6,2.7,5.5,2,0.228395061728395,1,38.5555555555556,33.6604938271605,8.3641975308642,1.33950617283951,0.191358024691358,0.728395061728395,3.74074074074074,0.851851851851852,0.320987654320988,3.7716049382716,5.09259259259259,12.2716049382716,0.759259259259259,0.191358024691358,0.641975308641975,0.290123456790123,0.444444444444444,7.45679012345679,0.0864197530864197,0.0203703703703704,0.314814814814815,0.111111111111111,0.104938271604938,0.12962962962963,9.06913580246914,3.2962962962963,2.94444444444444,0.123456790123457,0.172839506172839,0.0617283950617284,0.209876543209877,37.1296296296296,0.722222222222222,0.0201234567901235,0.00698765432098765,6.61728395061728
"13","MIL",1975,4.17,0.25,0.32,0.389,0.709,100,FALSE,4.34,9.4,0.8,3.9,4,1.03,0.222222222222222,1,37.5432098765432,33.1975308641975,8.29012345679012,1.49382716049383,0.209876543209877,0.901234567901235,3.90123456790123,0.401234567901235,0.395061728395062,3.41358024691358,5.69135802469136,12.9074074074074,0.808641975308642,0.172839506172839,0.450617283950617,0.302469135802469,0.203703703703704,6.67283950617284,0.0925925925925926,0.0301851851851852,0.222222222222222,0.0617283950617284,0.0493827160493827,0.209876543209877,8.83456790123457,4.88888888888889,4.25925925925926,0.37037037037037,0.358024691358025,0.0185185185185185,0.401234567901235,39,0.549382716049383,0.0267283950617284,0.00914197530864198,7.59876543209877
"14","MIN",1975,4.55,0.271,0.341,0.386,0.727,104,FALSE,4.05,8.7,0.9,3.9,5.4,1.37,0.220125786163522,1,39.1509433962264,34.6792452830189,9.41509433962264,1.35220125786164,0.176100628930818,0.761006289308176,4.20754716981132,0.509433962264151,0.30188679245283,3.54088050314465,4.69182389937107,13.4025157232704,0.79874213836478,0.251572327044025,0.389937106918239,0.289308176100629,0.421383647798742,7.78616352201258,0.0817610062893082,0.0291194968553459,0.358490566037736,0.0440251572327044,0.0440251572327044,0.138364779874214,8.94968553459119,4.62893081761006,4.0251572327044,0.138364779874214,0.226415094339623,0.0377358490566038,0.308176100628931,38.6540880503145,0.59748427672956,0.0253459119496855,0.00883018867924528,7.17610062893082
"15","MON",1975,3.71,0.244,0.317,0.348,0.664,82,FALSE,3.72,8.8,0.6,4,5.1,1.25,0.234567901234568,1,38.7160493827161,34.0617283950617,8.30864197530864,1.33333333333333,0.191358024691358,0.604938271604938,3.34567901234568,0.666666666666667,0.358024691358025,3.57407407407407,5.88888888888889,11.8395061728395,0.679012345679012,0.166666666666667,0.679012345679012,0.234567901234568,0.450617283950617,7.53703703703704,0.0864197530864197,0.0262962962962963,0.185185185185185,0.0740740740740741,0.0555555555555556,0.154320987654321,9.1358024691358,4.25925925925926,3.77777777777778,0.388888888888889,0.228395061728395,0.0740740740740741,0.401234567901235,39.6913580246914,0.641975308641975,0.0233333333333333,0.00881481481481482,8.02469135802469
"16","NYM",1975,3.99,0.256,0.319,0.361,0.681,93,FALSE,3.39,8.3,0.6,3.6,6.1,1.71,0.228395061728395,1,38.5123456790123,34.4876543209877,8.82716049382716,1.33950617283951,0.209876543209877,0.623456790123457,3.7283950617284,0.197530864197531,0.160493827160494,3.09259259259259,4.96913580246914,12.4567901234568,0.882716049382716,0.228395061728395,0.462962962962963,0.228395061728395,0.432098765432099,7.40740740740741,0.0987654320987654,0.0238271604938272,0.246913580246914,0.0864197530864197,0.0802469135802469,0.191358024691358,9.04938271604938,3.85802469135802,3.40740740740741,0.395061728395062,0.148148148148148,0.123456790123457,0.296296296296296,38.2098765432099,0.62962962962963,0.020679012345679,0.00809876543209877,7.2037037037037
"17","NYY",1975,4.26,0.264,0.325,0.382,0.707,101,FALSE,3.29,8.4,0.7,3.2,5.1,1.61,0.23125,1,37.74375,33.84375,8.9375,1.4375,0.24375,0.6875,4.0125,0.6375,0.36875,3.0375,4.4375,12.925,0.8875,0.1875,0.3375,0.33125,0.25625,6.81875,0.075,0.0229375,0.4375,0.06875,0.06875,0.125,8.9,3.675,3.25,0.25625,0.13125,0.01875,0.24375,37.10625,0.70625,0.021875,0.00801875,6.73125
"18","OAK",1975,4.68,0.254,0.333,0.391,0.724,106,TRUE,3.27,7.9,0.6,3.3,4.9,1.5,0.259259259259259,1,38.179012345679,33.4259259259259,8.49382716049383,1.35802469135802,0.203703703703704,0.932098765432099,4.33950617283951,1.12962962962963,0.506172839506173,3.75925925925926,5.22222222222222,13.0555555555556,0.660493827160494,0.314814814814815,0.45679012345679,0.216049382716049,0.277777777777778,6.95679012345679,0.0864197530864197,0.0230864197530864,0.222222222222222,0.0617283950617284,0.0432098765432099,0.271604938271605,8.93827160493827,3.74074074074074,3.24691358024691,0.253086419753086,0.228395061728395,0.0185185185185185,0.290123456790123,37.2777777777778,0.685185185185185,0.0220987654320988,0.00762962962962963,6.72222222222222
"19","PHI",1975,4.54,0.269,0.342,0.402,0.744,103,FALSE,3.82,8.4,0.7,3.4,5.5,1.64,0.240740740740741,1,39.3024691358025,34.5185185185185,9.2962962962963,1.74691358024691,0.259259259259259,0.771604938271605,4.24074074074074,0.777777777777778,0.351851851851852,3.76543209876543,5.92592592592593,13.8765432098765,0.703703703703704,0.191358024691358,0.54320987654321,0.259259259259259,0.481481481481481,7.85185185185185,0.0925925925925926,0.0264197530864198,0.203703703703704,0.0679012345679012,0.0555555555555556,0.185185185185185,8.98148148148148,4.28395061728395,3.81481481481481,0.302469135802469,0.154320987654321,0.123456790123457,0.308641975308642,37.9012345679012,0.604938271604938,0.0217283950617284,0.00805555555555556,6.67283950617284
"20","PIT",1975,4.42,0.263,0.323,0.402,0.725,103,TRUE,3.01,8.2,0.5,3.5,4.8,1.39,0.211180124223602,1,37.9627329192547,34.0931677018634,8.96894409937888,1.58385093167702,0.291925465838509,0.857142857142857,4.15527950310559,0.304347826086957,0.173913043478261,2.90683229813665,5.16770186335404,13.7080745341615,0.770186335403727,0.236024844720497,0.472049689440994,0.248447204968944,0.341614906832298,6.95652173913043,0.0869565217391304,0.0218012422360248,0.267080745341615,0.0869565217391304,0.0683229813664596,0.192546583850932,8.92608695652174,3.50931677018634,2.98136645962733,0.633540372670807,0.124223602484472,0.0683229813664596,0.229813664596273,37.7142857142857,0.726708074534162,0.0212422360248447,0.00800621118012422,7.42236024844721
"21","SDP",1975,3.41,0.244,0.31,0.335,0.645,84,FALSE,3.48,9.2,0.6,3.2,4.4,1.37,0.234567901234568,1,37.9876543209877,33.5123456790123,8.17283950617284,1.32716049382716,0.135802469135802,0.481481481481481,3.11728395061728,0.524691358024691,0.308641975308642,3.12345679012346,4.65432098765432,11.216049382716,0.790123456790123,0.228395061728395,0.820987654320988,0.283950617283951,0.37037037037037,7.32098765432099,0.0864197530864197,0.0260493827160494,0.246913580246914,0.0740740740740741,0.0617283950617284,0.123456790123457,9.03148148148148,4.21604938271605,3.49382716049383,0.580246913580247,0.148148148148148,0.0555555555555556,0.271604938271605,38.9753086419753,0.617283950617284,0.0222839506172839,0.0085,7.66049382716049
"22","SFG",1975,4.09,0.259,0.333,0.365,0.698,91,FALSE,3.74,8.8,0.6,3.8,5.4,1.4,0.229813664596273,1,38.4223602484472,33.832298136646,8.77018633540373,1.45962732919255,0.279503105590062,0.521739130434783,3.7639751552795,0.614906832298137,0.291925465838509,3.75155279503106,4.81366459627329,12.3540372670807,0.863354037267081,0.136645962732919,0.385093167701863,0.316770186335404,0.322981366459627,7.6583850931677,0.0869565217391304,0.0259006211180124,0.229813664596273,0.0559006211180124,0.0559006211180124,0.149068322981366,8.89565217391304,4.16770186335404,3.69565217391304,0.577639751552795,0.236024844720497,0.093167701863354,0.316770186335404,38.5776397515528,0.633540372670807,0.0222981366459627,0.00875155279503106,7.71428571428571
"23","STL",1975,4.06,0.273,0.327,0.375,0.702,92,FALSE,3.57,9,0.6,3.5,5.1,1.44,0.269938650306748,1,38.0920245398773,34.3374233128834,9.3680981595092,1.46625766871166,0.282208588957055,0.496932515337423,3.79754601226994,0.711656441717791,0.300613496932515,2.7239263803681,3.98159509202454,12.8895705521472,0.840490797546012,0.177914110429448,0.56441717791411,0.276073619631902,0.404907975460123,7.25766871165644,0.116564417177914,0.0259509202453988,0.202453987730061,0.0797546012269939,0.0674846625766871,0.220858895705521,8.92147239263804,4.22699386503067,3.5398773006135,0.576687116564417,0.147239263803681,0.0306748466257669,0.337423312883436,38.6748466257669,0.650306748466258,0.021840490797546,0.00853374233128834,7.67484662576687
"24","TEX",1975,4.41,0.256,0.33,0.371,0.7,99,FALSE,3.86,8.9,0.8,3.2,4.9,1.53,0.240740740740741,1,39.1604938271605,34.5617283950617,8.83333333333333,1.28395061728395,0.104938271604938,0.827160493827161,4.16666666666667,0.62962962962963,0.382716049382716,3.78395061728395,5.32716049382716,12.8086419753086,0.771604938271605,0.154320987654321,0.395061728395062,0.253086419753086,0.296296296296296,7.50617283950617,0.104938271604938,0.0279012345679012,0.37037037037037,0.0987654320987654,0.0864197530864197,0.104938271604938,9.04444444444444,4.52469135802469,3.88271604938272,0.37037037037037,0.265432098765432,0.0432098765432099,0.302469135802469,38.5925925925926,0.598765432098765,0.0231481481481481,0.00831481481481481,6.92592592592593
"25","ATL",1976,3.83,0.245,0.32,0.334,0.653,82,FALSE,3.86,9,0.5,3.5,5.1,1.45,0.265432098765432,1,37.6975308641975,32.9938271604938,8.08024691358025,1.04938271604938,0.185185185185185,0.506172839506173,3.61728395061728,0.45679012345679,0.376543209876543,3.6358024691358,5.00617283950617,11.0185185185185,0.808641975308642,0.117283950617284,0.660493827160494,0.290123456790123,0.283950617283951,7.10493827160494,0.111111111111111,0.0266666666666667,0.203703703703704,0.0802469135802469,0.0617283950617284,0.166666666666667,8.87654320987654,4.32098765432099,3.80864197530864,0.351851851851852,0.246913580246914,0.0987654320987654,0.37037037037037,38.4691358024691,0.611111111111111,0.0217901234567901,0.00858024691358025,7.51851851851852
"26","BAL",1976,3.82,0.243,0.31,0.358,0.667,101,FALSE,3.32,8.6,0.5,3,4.2,1.39,0.228395061728395,1,37.5987654320988,33.6851851851852,8.18518518518519,1.31481481481481,0.172839506172839,0.734567901234568,3.55555555555556,0.925925925925926,0.376543209876543,3.2037037037037,5.45061728395062,12.0493827160494,0.734567901234568,0.141975308641975,0.351851851851852,0.216049382716049,0.209876543209877,6.66666666666667,0.0925925925925926,0.0227777777777778,0.364197530864198,0.0987654320987654,0.0864197530864197,0.141975308641975,9.06296296296296,3.69135802469136,3.33950617283951,0.246913580246914,0.141975308641975,0.0185185185185185,0.228395061728395,37.8827160493827,0.611111111111111,0.021358024691358,0.00791975308641975,6.99382716049383
"27","BOS",1976,4.42,0.263,0.324,0.402,0.726,102,FALSE,3.52,9.2,0.7,2.5,4.2,1.65,0.197530864197531,1,37.9876543209877,34.0185185185185,8.93827160493827,1.58641975308642,0.327160493827161,0.827160493827161,4.09876543209877,0.58641975308642,0.432098765432099,3.08641975308642,5.1358024691358,13.6604938271605,0.783950617283951,0.179012345679012,0.339506172839506,0.364197530864198,0.216049382716049,6.67283950617284,0.0679012345679012,0.0251234567901235,0.302469135802469,0.0802469135802469,0.0555555555555556,0.166666666666667,9,4.07407407407407,3.52469135802469,0.277777777777778,0.197530864197531,0.00617283950617284,0.203703703703704,37.9814814814815,0.691358024691358,0.0221604938271605,0.00806172839506173,6.90740740740741
"28","CAL",1976,3.4,0.235,0.306,0.318,0.624,89,FALSE,3.36,8.1,0.6,3.4,6,1.79,0.259259259259259,1,37.679012345679,33.2407407407407,7.80864197530864,1.2962962962963,0.141975308641975,0.388888888888889,3.15432098765432,0.777777777777778,0.493827160493827,3.2962962962963,5.01234567901235,10.5555555555556,0.802469135802469,0.259259259259259,0.567901234567901,0.296296296296296,0.308641975308642,6.82098765432099,0.0864197530864197,0.0240740740740741,0.395061728395062,0.0925925925925926,0.0802469135802469,0.104938271604938,9.1179012345679,3.89506172839506,3.40123456790123,0.308641975308642,0.234567901234568,0.0123456790123457,0.166666666666667,38.179012345679,0.611111111111111,0.0205555555555556,0.00783950617283951,6.92592592592593
