"","Tm","year","num_batters","BatAge","R.G","G","PA","AB","R","H","B2","B3","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS_plus","TB","GDP","HBP","SH","SF","IBB","LOB","playoffs"
"1","ATL",1975,40,27.2,3.62,161,37.8509316770186,33.6894409937888,3.62111801242236,8.21739130434783,1.11180124223602,0.173913043478261,0.664596273291925,3.36024844720497,0.341614906832298,0.236024844720497,3.37267080745342,4.71428571428571,0.244,0.313,0.346,0.659,81,11.6708074534161,0.863354037267081,0.111801242236025,0.447204968944099,0.217391304347826,0.360248447204969,7.26708074534162,FALSE
"2","BAL",1975,34,30.4,4.29,159,39.062893081761,34.4276729559748,4.28930817610063,8.69182389937107,1.40880503144654,0.207547169811321,0.779874213836478,3.9937106918239,0.654088050314465,0.345911949685535,3.64779874213836,5.24528301886792,0.252,0.326,0.373,0.699,103,12.8553459119497,0.716981132075472,0.238993710691824,0.459119496855346,0.289308176100629,0.345911949685535,7.49685534591195,FALSE
"3","BOS",1975,37,26.9,4.97,160,38.59375,34.05,4.975,9.375,1.775,0.275,0.8375,4.725,0.4125,0.3625,3.53125,4.63125,0.275,0.344,0.417,0.761,107,14.2125,0.85625,0.2125,0.46875,0.33125,0.35625,6.9625,TRUE
"4","CAL",1975,48,25.5,3.9,161,38.1490683229814,33.3975155279503,3.90062111801242,8.22360248447205,1.2111801242236,0.254658385093168,0.341614906832298,3.5527950310559,1.36645962732919,0.670807453416149,3.6832298136646,5.03726708074534,0.246,0.322,0.328,0.65,91,10.9689440993789,0.608695652173913,0.167701863354037,0.602484472049689,0.291925465838509,0.217391304347826,7.01863354037267,FALSE
"5","CHC",1975,39,27,4.4,162,39.0308641975309,33.7654320987654,4.39506172839506,8.75925925925926,1.41358024691358,0.253086419753086,0.58641975308642,3.98148148148148,0.41358024691358,0.339506172839506,4.01234567901235,4.95061728395062,0.259,0.338,0.368,0.706,93,12.4382716049383,0.691358024691358,0.185185185185185,0.660493827160494,0.407407407407407,0.481481481481481,7.79012345679012,FALSE
"6","CHW",1975,41,26.8,4.07,161,38.7826086956522,34.0993788819876,4.06832298136646,8.69565217391304,1.29813664596273,0.236024844720497,0.583850931677019,3.75155279503106,0.627329192546584,0.335403726708075,3.79503105590062,4.96894409937888,0.255,0.331,0.358,0.689,94,12.2173913043478,0.93167701863354,0.248447204968944,0.31055900621118,0.322981366459627,0.329192546583851,7.57763975155279,FALSE
"7","CIN",1975,29,28.4,5.19,162,39.6234567901235,34.4506172839506,5.18518518518519,9.35185185185185,1.71604938271605,0.228395061728395,0.765432098765432,4.80864197530864,1.03703703703704,0.222222222222222,4.26543209876543,5.65432098765432,0.271,0.353,0.401,0.754,108,13.820987654321,0.753086419753086,0.216049382716049,0.407407407407407,0.277777777777778,0.41358024691358,7.84567901234568,TRUE
"8","CLE",1975,41,26.6,4.33,159,38.1069182389937,33.9874213836478,4.32704402515723,8.86163522012579,1.26415094339623,0.157232704402516,0.962264150943396,4.0440251572327,0.666666666666667,0.559748427672956,3.30188679245283,4.19496855345912,0.261,0.327,0.392,0.719,104,13.3270440251572,0.911949685534591,0.150943396226415,0.40251572327044,0.251572327044025,0.226415094339623,6.71069182389937,FALSE
"9","DET",1975,38,27.6,3.58,159,36.811320754717,33.748427672956,3.58490566037736,8.41509433962264,1.07547169811321,0.245283018867925,0.786163522012579,3.43396226415094,0.39622641509434,0.358490566037736,2.40880503144654,5.48427672955975,0.249,0.301,0.366,0.666,86,12.3396226415094,0.754716981132076,0.176100628930818,0.232704402515723,0.238993710691824,0.163522012578616,6.47169811320755,FALSE
"10","HOU",1975,35,26.3,4.1,162,38.3456790123457,34.0432098765432,4.09876543209877,8.64814814814815,1.34567901234568,0.333333333333333,0.518518518518518,3.74074074074074,0.820987654320988,0.382716049382716,3.2283950617284,4.7037037037037,0.254,0.32,0.359,0.679,96,12.216049382716,0.728395061728395,0.197530864197531,0.598765432098765,0.271604938271605,0.407407407407407,7.04938271604938,FALSE
"11","KCR",1975,32,28.1,4.38,162,38.462962962963,33.8950617283951,4.38271604938272,8.83333333333333,1.62345679012346,0.358024691358025,0.728395061728395,4.11728395061728,0.95679012345679,0.462962962962963,3.64814814814815,4.16666666666667,0.261,0.333,0.394,0.727,103,13.358024691358,0.672839506172839,0.179012345679012,0.419753086419753,0.314814814814815,0.290123456790123,7.29012345679012,FALSE
"12","LAD",1975,37,27.4,4,162,38.5555555555556,33.6604938271605,4,8.3641975308642,1.33950617283951,0.191358024691358,0.728395061728395,3.74074074074074,0.851851851851852,0.320987654320988,3.7716049382716,5.09259259259259,0.248,0.325,0.365,0.69,96,12.2716049382716,0.759259259259259,0.191358024691358,0.641975308641975,0.290123456790123,0.444444444444444,7.45679012345679,FALSE
"13","MIL",1975,36,27,4.17,162,37.5432098765432,33.1975308641975,4.16666666666667,8.29012345679012,1.49382716049383,0.209876543209877,0.901234567901235,3.90123456790123,0.401234567901235,0.395061728395062,3.41358024691358,5.69135802469136,0.25,0.32,0.389,0.709,100,12.9074074074074,0.808641975308642,0.172839506172839,0.450617283950617,0.302469135802469,0.203703703703704,6.67283950617284,FALSE
"14","MIN",1975,35,27.5,4.55,159,39.1509433962264,34.6792452830189,4.55345911949686,9.41509433962264,1.35220125786164,0.176100628930818,0.761006289308176,4.20754716981132,0.509433962264151,0.30188679245283,3.54088050314465,4.69182389937107,0.271,0.341,0.386,0.727,104,13.4025157232704,0.79874213836478,0.251572327044025,0.389937106918239,0.289308176100629,0.421383647798742,7.78616352201258,FALSE
"15","MON",1975,38,24.6,3.71,162,38.7160493827161,34.0617283950617,3.70987654320988,8.30864197530864,1.33333333333333,0.191358024691358,0.604938271604938,3.34567901234568,0.666666666666667,0.358024691358025,3.57407407407407,5.88888888888889,0.244,0.317,0.348,0.664,82,11.8395061728395,0.679012345679012,0.166666666666667,0.679012345679012,0.234567901234568,0.450617283950617,7.53703703703704,FALSE
