"","year","method","data.size","years_prior","total.pred","true.pos","true.neg","success.rate"
"1",1976,"knn","full",1,24,0,20,0.833333333333333
"2",1976,"knn","red",1,24,0,20,0.833333333333333
"3",1976,"NB","full",1,24,2,20,0.916666666666667
"4",1976,"NB","red",1,24,3,19,0.916666666666667
"5",1976,"NN","full",1,24,6,36,0.875
"6",1976,"NN","red",1,24,4,36,0.833333333333333
"7",1977,"knn","full",1,26,0,22,0.846153846153846
"8",1977,"knn","full",2,26,2,18,0.769230769230769
"9",1977,"knn","red",1,26,0,22,0.846153846153846
"10",1977,"knn","red",2,26,2,19,0.807692307692308
"11",1977,"logistic","red",1,26,4,13,0.653846153846154
"12",1977,"logistic","red",2,26,1,20,0.807692307692308
"13",1977,"NB","full",1,26,4,14,0.692307692307692
"14",1977,"NB","full",2,26,4,15,0.730769230769231
"15",1977,"NB","red",1,26,4,13,0.653846153846154
"16",1977,"NB","red",2,26,4,15,0.730769230769231
"17",1977,"NN","full",1,26,7,33,0.769230769230769
"18",1977,"NN","full",2,26,7,35,0.807692307692308
"19",1977,"NN","red",1,26,2,21,0.884615384615385
"20",1977,"NN","red",2,26,4,37,0.788461538461539
"21",1978,"knn","full",1,26,0,22,0.846153846153846
"22",1978,"knn","full",2,26,1,21,0.846153846153846
"23",1978,"knn","full",3,26,1,20,0.807692307692308
"24",1978,"knn","red",1,26,0,22,0.846153846153846
"25",1978,"knn","red",2,26,1,21,0.846153846153846
"26",1978,"knn","red",3,26,0,20,0.769230769230769
"27",1978,"logistic","red",1,26,0,18,0.692307692307692
"28",1978,"logistic","red",2,26,4,19,0.884615384615385
"29",1978,"logistic","red",3,26,1,20,0.807692307692308
"30",1978,"NB","full",1,26,0,20,0.769230769230769
"31",1978,"NB","full",2,26,1,20,0.807692307692308
"32",1978,"NB","full",3,26,1,20,0.807692307692308
"33",1978,"NB","red",1,26,0,20,0.769230769230769
"34",1978,"NB","red",2,26,1,20,0.807692307692308
"35",1978,"NB","red",3,26,3,20,0.884615384615385
"36",1978,"NN","full",1,26,0,20,0.769230769230769
"37",1978,"NN","full",2,26,1,41,0.807692307692308
"38",1978,"NN","full",3,26,1,56,0.730769230769231
"39",1978,"NN","red",1,26,0,36,0.692307692307693
"40",1978,"NN","red",2,26,0,32,0.615384615384615
"41",1978,"NN","red",3,26,0,17,0.653846153846154
"42",1979,"knn","full",1,26,0,22,0.846153846153846
"43",1979,"knn","full",2,26,0,22,0.846153846153846
"44",1979,"knn","full",3,26,0,21,0.807692307692308
"45",1979,"knn","full",4,26,1,21,0.846153846153846
"46",1979,"knn","red",1,26,0,22,0.846153846153846
"47",1979,"knn","red",2,26,0,22,0.846153846153846
"48",1979,"knn","red",3,26,0,22,0.846153846153846
"49",1979,"knn","red",4,26,1,20,0.807692307692308
"50",1979,"logistic","red",1,26,1,17,0.692307692307692
"51",1979,"logistic","red",2,26,1,13,0.538461538461538
"52",1979,"logistic","red",3,26,1,14,0.576923076923077
"53",1979,"logistic","red",4,26,1,18,0.730769230769231
"54",1979,"NB","full",1,26,1,18,0.730769230769231
"55",1979,"NB","full",2,26,2,14,0.615384615384615
"56",1979,"NB","full",3,26,4,15,0.730769230769231
"57",1979,"NB","full",4,26,4,11,0.576923076923077
"58",1979,"NB","red",1,26,1,17,0.692307692307692
"59",1979,"NB","red",2,26,4,17,0.807692307692308
"60",1979,"NB","red",3,26,4,15,0.730769230769231
"61",1979,"NB","red",4,26,4,14,0.692307692307692
"62",1979,"NN","full",1,26,4,45,0.628205128205128
"63",1979,"NN","full",2,26,4,27,0.596153846153846
"64",1979,"NN","full",3,26,2,39,0.788461538461539
"65",1979,"NN","full",4,26,1,18,0.730769230769231
"66",1979,"NN","red",1,26,4,24,0.538461538461539
"67",1979,"NN","red",2,26,3,29,0.615384615384615
"68",1979,"NN","red",3,26,1,15,0.615384615384615
"69",1979,"NN","red",4,26,4,29,0.634615384615384
"70",1980,"knn","full",1,26,0,22,0.846153846153846
"71",1980,"knn","full",2,26,0,22,0.846153846153846
"72",1980,"knn","full",3,26,0,22,0.846153846153846
"73",1980,"knn","full",4,26,0,22,0.846153846153846
"74",1980,"knn","full",5,26,1,20,0.807692307692308
"75",1980,"knn","red",1,26,0,22,0.846153846153846
"76",1980,"knn","red",2,26,0,22,0.846153846153846
"77",1980,"knn","red",3,26,0,22,0.846153846153846
"78",1980,"knn","red",4,26,0,22,0.846153846153846
"79",1980,"knn","red",5,26,2,22,0.923076923076923
"80",1980,"logistic","red",1,26,1,19,0.769230769230769
"81",1980,"logistic","red",2,26,2,17,0.730769230769231
"82",1980,"logistic","red",3,26,1,20,0.807692307692308
"83",1980,"logistic","red",4,26,3,20,0.884615384615385
"84",1980,"logistic","red",5,26,2,21,0.884615384615385
"85",1980,"NB","full",1,26,1,21,0.846153846153846
"86",1980,"NB","full",2,26,3,14,0.653846153846154
"87",1980,"NB","full",3,26,3,17,0.769230769230769
"88",1980,"NB","full",4,26,3,16,0.730769230769231
"89",1980,"NB","full",5,26,3,15,0.692307692307692
"90",1980,"NB","red",1,26,0,21,0.807692307692308
"91",1980,"NB","red",2,26,3,17,0.769230769230769
"92",1980,"NB","red",3,26,3,17,0.769230769230769
"93",1980,"NB","red",4,26,3,16,0.730769230769231
"94",1980,"NB","red",5,26,3,16,0.730769230769231
"95",1980,"NN","full",1,26,6,31,0.711538461538461
"96",1980,"NN","full",2,26,5,37,0.807692307692307
"97",1980,"NN","full",3,26,2,15,0.653846153846154
"98",1980,"NN","full",4,26,2,20,0.846153846153846
"99",1980,"NN","full",5,26,2,16,0.692307692307692
"100",1980,"NN","red",1,26,3,16,0.730769230769231
