"","X","team","payroll"
"1",1,"ARI",124016266
"2",2,"ATL",133186667
"3",3,"BAL",82696100
"4",4,"BOS",218978142
"5",5,"CHC",217805215
"6",6,"CHW",80846333
"7",7,"CIN",109737499
"8",8,"CLE",151257783
"9",9,"COL",145348500
"10",10,"DET",100618500
"11",11,"HOU",166042500
"12",12,"KCR",98183242
"13",13,"LAA",177345250
"14",14,"LAD",193553333
"15",15,"MIA",74683643
"16",16,"MIL",128842900
"17",17,"MIN",113758333
"18",18,"NYM",154837230
"19",19,"NYY",228442421
"20",20,"OAK",102935833
"21",21,"PHI",141786962
"22",22,"PIT",72915501
"23",23,"SDP",90260767
"24",24,"SEA",126874600
"25",25,"SFG",175550753
"26",26,"STL",161120267
"27",27,"TBR",56071767
"28",28,"TEX",104433499
"29",29,"TOR",64680671
"30",30,"WSN",203016595
