"","Tm","Payroll","year","order"
"1","TBR",56071767,2019,1
"2","TOR",64680671,2019,2
"3","PIT",72915501,2019,3
"4","MIA",74683643,2019,4
"5","CHW",80846333,2019,5
"6","BAL",82696100,2019,6
"7","SDP",90260767,2019,7
"8","KCR",98183242,2019,8
"9","DET",100618500,2019,9
"10","OAK",102935833,2019,10
"11","TEX",104433499,2019,11
"12","CIN",109737499,2019,12
"13","MIN",113758333,2019,13
"14","ARI",124016266,2019,14
"15","SEA",126874600,2019,15
"16","MIL",128842900,2019,16
"17","ATL",133186667,2019,17
"18","PHI",141786962,2019,18
"19","COL",145348500,2019,19
"20","CLE",151257783,2019,20
"21","NYM",154837230,2019,21
"22","STL",161120267,2019,22
"23","HOU",166042500,2019,23
"24","SFG",175550753,2019,24
"25","LAA",177345250,2019,25
"26","LAD",193553333,2019,26
"27","WSN",203016595,2019,27
"28","CHC",217805215,2019,28
"29","BOS",218978142,2019,29
"30","NYY",228442421,2019,30
"31","TBR",46011667,2018,1
"32","OAK",69883333,2018,2
"33","CHW",75092000,2018,3
"34","MIA",86515143,2018,4
"35","PIT",88141000,2018,5
"36","SDP",93821067,2018,6
"37","PHI",93874333,2018,7
"38","CIN",94587500,2018,8
"39","KCR",95199167,2018,9
"40","TEX",106099628,2018,10
"41","MIL",109295700,2018,11
"42","MIN",110275000,2018,12
"43","DET",111531000,2018,13
"44","ATL",115848667,2018,14
"45","ARI",134850600,2018,15
"46","COL",136658500,2018,16
"47","BAL",141555833,2018,17
"48","CLE",143375233,2018,18
"49","TOR",151670772,2018,19
"50","SEA",157090065,2018,20
"51","STL",157713667,2018,21
"52","NYY",160743032,2018,22
"53","NYM",161403844,2018,23
"54","LAD",164703429,2018,24
"55","LAA",166849666,2018,25
"56","HOU",172781200,2018,26
"57","WSN",188886699,2018,27
"58","SFG",202060277,2018,28
"59","CHC",205373881,2018,29
"60","BOS",222205000,2018,30
"61","SDP",49248767,2017,1
"62","OAK",51560000,2017,2
"63","MIL",68439300,2017,3
"64","CIN",79315786,2017,4
"65","TBR",79473033,2017,5
"66","PHI",86276000,2017,6
"67","CHW",97842000,2017,7
"68","PIT",102953333,2017,8
"69","MIN",103932500,2017,9
"70","ARI",106580200,2017,10
"71","COL",106650000,2017,11
"72","MIA",111591100,2017,12
"73","CLE",114427167,2017,13
"74","DET",118375600,2017,14
"75","ATL",119705250,2017,15
"76","KCR",127555817,2017,16
"77","STL",129652933,2017,17
"78","HOU",157656400,2017,18
"79","TOR",158890575,2017,19
"80","BAL",161621633,2017,20
"81","SEA",172438700,2017,21
"82","WSN",175587301,2017,22
"83","NYM",176615252,2017,23
"84","CHC",177210667,2017,24
"85","SFG",177399833,2017,25
"86","LAA",181125500,2017,26
"87","NYY",182424700,2017,27
"88","BOS",200550750,2017,28
"89","LAD",201466263,2017,29
"90","TEX",207326274,2017,30
"91","TBR",48223791,2016,1
"92","SDP",50656166,2016,2
"93","MIL",52077500,2016,3
"94","OAK",54969067,2016,4
"95","MIA",72472000,2016,5
"96","ATL",74999750,2016,6
"97","CIN",77329561,2016,7
"98","ARI",78399500,2016,8
"99","PIT",81187933,2016,9
"100","PHI",84846666,2016,10
"101","HOU",89498000,2016,11
"102","COL",89707000,2016,12
"103","MIN",93333700,2016,13
"104","CLE",94511067,2016,14
"105","CHW",113416000,2016,15
"106","KCR",125132675,2016,16
"107","SEA",137169100,2016,17
"108","LAA",139712000,2016,18
"109","STL",150353500,2016,19
"110","WSN",152967400,2016,20
"111","BAL",153744833,2016,21
"112","NYM",155221282,2016,22
"113","CHC",176097333,2016,23
"114","SFG",177021333,2016,24
"115","TOR",182690767,2016,25
"116","NYY",193229350,2016,26
"117","DET",199902000,2016,27
"118","TEX",212117760,2016,28
"119","BOS",218682750,2016,29
"120","LAD",231342096,2016,30
"121","CLE",59163766,2015,1
"122","OAK",64016001,2015,2
"123","ARI",64434000,2015,3
"124","TBR",64571233,2015,4
"125","MIL",70869500,2015,5
"126","MIA",71231500,2015,6
"127","HOU",93256200,2015,7
"128","COL",96438600,2015,8
"129","NYM",98874473,2015,9
"130","PHI",103082167,2015,10
"131","ATL",104037500,2015,11
"132","PIT",104457499,2015,12
"133","MIN",107755000,2015,13
"134","CIN",111572286,2015,14
"135","CHW",112889700,2015,15
"136","BAL",112989833,2015,16
"137","CHC",115306610,2015,17
"138","TOR",117917400,2015,18
"139","KCR",121590475,2015,19
"140","SDP",125203700,2015,20
"141","STL",128241500,2015,21
"142","SEA",130681400,2015,22
"143","LAA",131522500,2015,23
"144","DET",172284750,2015,24
"145","WSN",176496372,2015,25
"146","TEX",178860789,2015,26
"147","SFG",180018166,2015,27
"148","BOS",183931900,2015,28
"149","NYY",214051957,2015,29
"150","LAD",265140429,2015,30
"151","MIA",42365400,2014,1
"152","HOU",44736800,2014,2
"153","CHC",59800500,2014,3
"154","CLE",73509399,2014,4
"155","SDP",76662100,2014,5
"156","TBR",77814300,2014,6
"157","PIT",80729000,2014,7
"158","NYM",82663615,2014,8
"159","MIN",87044000,2014,9
"160","CHW",87475500,2014,10
"161","OAK",89160900,2014,11
"162","KCR",89804075,2014,12
"163","ARI",89926500,2014,13
"164","COL",95403500,2014,14
"165","SEA",95471000,2014,15
"166","CIN",102230000,2014,16
"167","ATL",108081500,2014,17
"168","BAL",109097500,2014,18
"169","MIL",109567000,2014,19
"170","LAA",128667000,2014,20
"171","TEX",129801239,2014,21
"172","STL",129932500,2014,22
"173","BOS",134628929,2014,23
"174","TOR",136466200,2014,24
"175","WSN",137235080,2014,25
"176","SFG",163510167,2014,26
"177","DET",169135500,2014,27
"178","PHI",176444967,2014,28
"179","LAD",233386026,2014,29
"180","NYY",258118959,2014,30
"181","HOU",14672300,2013,1
"182","MIA",24761900,2013,2
"183","MIN",63042500,2013,3
"184","SDP",65988600,2013,4
"185","CHC",67874166,2013,5
"186","NYM",69425860,2013,6
"187","OAK",69440000,2013,7
"188","TBR",71163500,2013,8
"189","COL",73768000,2013,9
"190","SEA",78887000,2013,10
"191","ARI",80060500,2013,11
"192","CHW",81401900,2013,12
"193","MIL",86945000,2013,13
"194","CLE",87342433,2013,14
"195","KCR",87426250,2013,15
"196","ATL",95618750,2013,16
"197","PIT",99230000,2013,17
"198","BAL",100832000,2013,18
"199","CIN",106255535,2013,19
"200","WSN",112493250,2013,20
"201","STL",112583000,2013,21
"202","LAA",116532500,2013,22
"203","TOR",124517800,2013,23
"204","TEX",139261200,2013,24
"205","SFG",139845667,2013,25
"206","PHI",150860000,2013,26
"207","DET",154407000,2013,27
"208","BOS",175395500,2013,28
"209","NYY",246534750,2013,29
"210","LAD",254161000,2013,30
"211","HOU",37651000,2012,1
"212","SDP",55494700,2012,2
"213","OAK",61202500,2012,3
"214","KCR",61747075,2012,4
"215","TBR",63368700,2012,5
"216","ARI",67069833,2012,6
"217","PIT",70077000,2012,7
"218","COL",75485000,2012,8
"219","BAL",77949000,2012,9
"220","SEA",78235600,2012,10
"221","CLE",78911300,2012,11
"222","CIN",80309500,2012,12
"223","TOR",82352700,2012,13
"224","CHC",86159366,2012,14
"225","ATL",86208000,2012,15
"226","NYM",91621424,2012,16
"227","WSN",92386000,2012,17
"228","MIL",95717000,2012,18
"229","MIN",99066000,2012,19
"230","MIA",107678000,2012,20
"231","BOS",110386000,2012,21
"232","STL",112071000,2012,22
"233","SFG",117637350,2012,23
"234","CHW",118208000,2012,24
"235","TEX",124119900,2012,25
"236","DET",131394000,2012,26
"237","LAA",141073500,2012,27
"238","PHI",171501558,2012,28
"239","LAD",177033600,2012,29
"240","NYY",197977900,2012,30
"241","KCR",35712000,2011,1
"242","TBR",41053571,2011,2
"243","PIT",45047000,2011,3
"244","SDP",45869140,2011,4
"245","CLE",49426566,2011,5
"246","ARI",54823166,2011,6
"247","FLA",57694000,2011,7
"248","TOR",64567800,2011,8
"249","OAK",67094000,2011,9
"250","WSN",68492928,2011,10
"251","HOU",71110500,2011,11
"252","CIN",77297134,2011,12
"253","SEA",86110600,2011,13
"254","MIL",86636333,2011,14
"255","BAL",88299038,2011,15
"256","COL",91648071,2011,16
"257","TEX",93799264,2011,17
"258","ATL",93855132,2011,18
"259","LAD",103785477,2011,19
"260","STL",105433572,2011,20
"261","DET",106875231,2011,21
"262","MIN",112737000,2011,22
"263","SFG",124198333,2011,23
"264","CHW",127789000,2011,24
"265","CHC",136547329,2011,25
"266","LAA",138543166,2011,26
"267","NYM",151897309,2011,27
"268","BOS",166662475,2011,28
"269","PHI",172976379,2011,29
"270","NYY",206275028,2011,30
"271","PIT",37443000,2010,1
"272","SDP",37799300,2010,2
"273","TEX",56474374,2010,3
"274","FLA",57454719,2010,4
"275","OAK",57904900,2010,5
"276","CLE",61203966,2010,6
"277","ARI",61368166,2010,7
"278","TOR",62734000,2010,8
"279","WSN",67701000,2010,9
"280","TBR",71923471,2010,10
"281","KCR",73105210,2010,11
"282","CIN",75321542,2010,12
"283","MIL",81108278,2010,13
"284","BAL",81612500,2010,14
"285","ATL",84423666,2010,15
"286","SEA",86510000,2010,16
"287","COL",90677000,2010,17
"288","HOU",93216000,2010,18
"289","STL",93540751,2010,19
"290","LAD",95358016,2010,20
"291","MIN",97559166,2010,21
"292","SFG",98641333,2010,22
"293","LAA",104963866,2010,23
"294","CHW",107195000,2010,24
"295","DET",124039928,2010,25
"296","NYM",134422942,2010,26
"297","PHI",141928379,2010,27
"298","CHC",146609002,2010,28
"299","BOS",164507333,2010,29
"300","NYY",210733389,2010,30
"301","FLA",40029000,2009,1
